SKU,Product Name,Store Description,Price (CAD),Base Price (CAD),Surcharge Price (CAD),Line/Category,Availability,Product URL,Price Type,Updated UTC
UACC-DAC-SFP28-1M,25G Direct Attach Cable,SFP28 direct attach cable available with a 25 Gbps max data rate.,35.00,35.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/25gbps-direct-attach-cable,Exact,2026-08-21T06:26:29+00:00
UACC-DAC-SFP28-3M,25G Direct Attach Cable,SFP28 direct attach cable available with a 25 Gbps max data rate.,55.00,55.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/25gbps-direct-attach-cable,Exact,2026-08-21T06:26:29+00:00
UACC-AOC-SFP28-10M,25G Long-Range Direct Attach Cable,Long-range SFP28 direct attach cable with a 25 Gbps max data rate.,95.00,95.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/25-gbps-active-optical-cable,Exact,2026-08-21T06:26:29+00:00
UACC-AOC-SFP28-20M,25G Long-Range Direct Attach Cable,Long-range SFP28 direct attach cable with a 25 Gbps max data rate.,99.00,99.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/25-gbps-active-optical-cable,Exact,2026-08-21T06:26:29+00:00
UACC-AOC-SFP28-30M,25G Long-Range Direct Attach Cable,Long-range SFP28 direct attach cable with a 25 Gbps max data rate.,109.00,109.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/25-gbps-active-optical-cable,Exact,2026-08-21T06:26:29+00:00
UACC-AOC-SFP28-5M,25G Long-Range Direct Attach Cable,Long-range SFP28 direct attach cable with a 25 Gbps max data rate.,85.00,85.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/25-gbps-active-optical-cable,Exact,2026-08-21T06:26:29+00:00
UACC-OM-SFP28-SR,25G Multi-Mode Optical Module,SFP28 transceiver that supports 25G connections up to 100 m using multi-mode fiber with a duplex LC UPC connector.,65.00,65.00,,Accessories,Out of Stock,https://ca.store.ui.com/ca/en/products/25gbps-multi-mode-optical-module,Exact,2026-08-21T06:26:29+00:00
UACC-OM-SFP28-LR,25G Single-Mode Optical Module,SFP28 transceiver that supports 25G connections up to 10 km using single-mode fiber with a duplex LC UPC connector.,170.00,170.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/uacc-om-sfp28-lr,Exact,2026-08-21T06:26:29+00:00
UACC-HDD-Tray,"3.5"" HDD Tray","A tray that supports both 3.5"" and 2.5"" drives, compatible with UDM-Pro, UDM-SE, UDM-Pro-Max, UNVR, UNVR-Pro, UNAS-Pro, and ENVR.",21.00,21.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/uacc-hdd-tray,Exact,2026-08-21T06:26:29+00:00
UACC-Rack-42U-1000-G,"42U Rack Cabinet, 1,000 mm, Glass Door","Fully assembled floor rack with built-in fans, removable panels, and lockable casters, engineered for optimal airflow, heavy-duty stability, and easy equipment access.",1435.00,1435.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/uacc-rack-42u-1000-g,Exact,2026-08-21T06:26:29+00:00
UACC-Rack-42U-1000-P,"42U Rack Cabinet, 1,000 mm, Perforated Door","Fully assembled floor rack with built-in fans, removable panels, and lockable casters, engineered for optimal airflow, heavy-duty stability, and easy equipment access.",1435.00,1435.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/uacc-rack-42u-1000-p,Exact,2026-08-21T06:26:29+00:00
UACC-Rack-42U-800-G,"42U Rack Cabinet, 800 mm, Glass Door","Fully assembled floor rack with built-in fans, removable panels, and lockable casters, engineered for optimal airflow, heavy-duty stability, and easy equipment access.",1290.00,1290.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/uacc-rack-42u-800-g,Exact,2026-08-21T06:26:29+00:00
UACC-Rack-42U-800-P,"42U Rack Cabinet, 800 mm, Perforated Door","Fully assembled floor rack with built-in fans, removable panels, and lockable casters, engineered for optimal airflow, heavy-duty stability, and easy equipment access.",1290.00,1290.00,,Accessories,Out of Stock,https://ca.store.ui.com/ca/en/products/uacc-rack-42u-800-p,Exact,2026-08-21T06:26:29+00:00
UACC-Adapter-RJ45-USBC-5GE,5G Ethernet Adapter,"Plug-and-play, Ethernet adapter with USB-C for seamless 5GbE network connectivity.",70.00,70.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/uacc-adapter-rj45-usbc-5ge,Exact,2026-08-21T06:26:29+00:00
UACC-Adapter-AC-210W,AC Adapter 210W,An AC power adapter delivers 210W at 54V DC for a PoE switch.,115.00,115.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/uacc-adapter-ac-210w,Exact,2026-08-21T06:26:29+00:00
